timestamp,accel_x,accel_y,accel_z,moisture,vibration,accel_magnitude,moisture_avg5,magnitude_avg5,moisture_change,magnitude_change,hour,minute,risk_label,confidence,danger_score,second,moisture_exp,magnitude_exp
2026-05-19 00:00:00,2067.868566120449,2020.9928690010247,2013.4602558014024,2561.0,0,3523.423730548724,2254.0,3532.2845565961206,-315.0,16.5669502824735,0,0,0,0.7256071428571428,19.72,0,2561.0,3523.423730548724
2026-05-19 00:00:30,2042.4694279531527,2042.21925317138,2046.7518604424367,2246.0,0,3539.990680831197,2254.0,3532.2845565961206,-315.0,16.5669502824735,0,0,0,0.7593571428571428,15.32,30,2466.5,3528.3938156334657
2026-05-19 00:01:00,2073.907541524028,2016.3032031600017,2048.720674881778,1936.0,0,3544.5489842223324,2254.0,3532.2845565961206,-310.0,4.558303391135269,0,1,0,0.7925714285714285,10.66,0,2307.35,3533.240366210126
2026-05-19 00:01:30,2108.921194256321,2035.6815388144385,2066.905213833736,1844.0,0,3586.5924070106585,2254.0,3532.2845565961206,-92.0,42.0434227883261,0,1,0,0.8024285714285714,10.39,30,2168.345,3549.2459784502853
2026-05-19 00:02:00,2038.6338650110663,1972.255413321849,1993.325665468767,2683.0,0,3466.866980367692,2254.0,3532.2845565961206,839.0,-119.72542664296634,0,2,1,0.6,30.06,0,2322.7414999999996,3524.5322790255073
2026-05-19 00:02:30,2038.6345217220328,2056.5317482949176,2071.702690953893,2049.0,0,3560.5204092389886,2151.6,3539.703892334174,-634.0,93.65342887129646,0,2,0,0.7804642857142857,12.84,30,2240.61905,3535.3287180895513
2026-05-19 00:03:00,2111.168512620296,2048.048219014489,1939.824334735889,2319.0,0,3523.4148841317774,2166.2,3536.388732994289,270.0,-37.10552510721118,0,3,0,0.7515357142857142,15.99,0,2264.1333349999995,3531.7545679022187
2026-05-19 00:03:30,2723.6973891661164,2487.3164547572724,2022.804617905448,3649.0,1,4206.781327342344,2508.8,3668.835201618292,1330.0,683.3664432105661,0,3,2,1.0,85.13,30,2679.5933344999994,3734.262595734256
2026-05-19 00:04:00,2029.221024562602,2074.369826737296,2028.4690463019383,1643.0,0,3540.541599305128,2468.6,3659.625040077186,-2006.0,-666.2397280372156,0,4,0,0.8239642857142857,6.04,0,2368.6153341499994,3676.1462968055175
2026-05-19 00:04:30,2069.7024017434387,2085.5028055050625,2073.3330730428497,2087.0,0,3596.067298497812,2349.4,3685.46510370321,444.0,55.52569919268399,0,4,1,0.6,14.4,30,2284.1307339049995,3652.1225973132055
2026-05-19 00:05:00,2029.4632922875007,1983.697605425241,2048.905234107074,2156.0,0,3500.255719638727,2370.8,3673.412165783157,69.0,-95.81157885908488,0,5,0,0.7689999999999999,12.85,0,2245.6915137334995,3606.562534010862
