timestamp,accel_x,accel_y,accel_z,moisture,vibration
2026-05-19 00:00:00,2067.8685661204495,2020.9928690010247,2013.4602558014026,2561,0
2026-05-19 00:00:30,2042.4694279531527,2042.2192531713793,2046.7518604424367,2246,0
2026-05-19 00:01:00,2073.9075415240277,2016.3032031600017,2048.720674881778,1936,0
2026-05-19 00:01:30,2108.921194256321,2035.6815388144385,2066.905213833736,1844,0
2026-05-19 00:02:00,2038.6338650110665,1972.2554133218487,1993.325665468767,2683,0
2026-05-19 00:02:30,2038.6345217220328,2056.5317482949176,2071.702690953893,2049,0
2026-05-19 00:03:00,2111.1685126202956,2048.048219014489,1939.824334735889,2319,0
2026-05-19 00:03:30,2723.6973891661164,2487.3164547572724,2022.8046179054477,3649,1
2026-05-19 00:04:00,2029.221024562602,2074.369826737296,2028.4690463019383,1643,0
2026-05-19 00:04:30,2069.7024017434387,2085.5028055050625,2073.3330730428497,2087,0
2026-05-19 00:05:00,2029.4632922875014,1983.6976054252411,2048.9052341070746,2156,0
2026-05-19 00:05:30,2029.3708098571897,2017.4910088573515,1991.7774778457485,1844,0
2026-05-19 00:06:00,2057.6784908626414,2017.2343060085082,2008.6002749673194,2792,0
2026-05-19 00:06:30,1971.4687902136882,2010.4038759556454,2055.9472003818964,2195,0
2026-05-19 00:07:00,1979.0032866994786,2081.17899367727,2044.8373063254178,1767,0
2026-05-19 00:07:30,2025.508498830361,2040.2469544490878,2024.8350356145702,1668,0
2026-05-19 00:08:00,2007.486755186623,2037.4194063475757,2028.7666484195208,1532,0
2026-05-19 00:08:30,2060.569893303811,1967.84550542373,2075.8467198863714,1876,0
2026-05-19 00:09:00,2011.6790369791515,2073.416721208369,2027.2922970852314,2737,0
2026-05-19 00:09:30,1991.5078519465883,1998.4296642058612,2044.476350238837,1892,0
2026-05-19 00:10:00,2106.625950756862,2050.397305210653,2134.7974635232217,1988,1
2026-05-19 00:10:30,2038.9689479805386,2059.095077518328,1991.0526945246431,2221,0
2026-05-19 00:11:00,2050.701128187517,2102.426343833546,1973.9262907370137,2445,0
2026-05-19 00:11:30,1991.0100725514617,1995.6471840352356,2079.343586591944,2552,1
2026-05-19 00:12:00,2026.2246910189926,1927.219513767167,2020.8542775482358,1538,0
2026-05-19 00:12:30,2052.4369035883947,2055.353981790148,2035.2704988902951,2696,0
2026-05-19 00:13:00,2200.9602569031076,2242.020447260434,2016.7537448747555,3219,0
2026-05-19 00:13:30,2063.0279207338267,2097.5578541175773,2037.6079943692996,2579,0
2026-05-19 00:14:00,2023.9744524032478,2056.386376610985,2111.9415244838538,1725,0
2026-05-19 00:14:30,2036.3322500082688,2028.3345525747181,2080.085138344725,1566,0
2026-05-19 00:15:00,2023.9317355108242,2080.284903865492,2082.488940475479,2720,0
2026-05-19 00:15:30,2122.0911273803576,2009.0581520118212,1991.3509177682943,2334,0
2026-05-19 00:16:00,2047.4601110104827,2067.0543107742487,2001.9538505378853,2546,0
2026-05-19 00:16:30,2005.691562841764,2068.218806366665,1934.436853620583,2498,0
2026-05-19 00:17:00,2080.9017964841278,2090.4083962999553,2015.6247671566898,1736,0
2026-05-19 00:17:30,1999.1662540011591,2158.386401556443,2086.268127455426,2456,0
2026-05-19 00:18:00,2056.35454380019,2063.696638687151,2068.677860629935,2418,0
2026-05-19 00:18:30,1969.613195044809,2027.6414549717,2039.139469481915,2661,0
2026-05-19 00:19:00,1994.8725580440628,2046.9770275123203,2047.1079886512778,1972,0
2026-05-19 00:19:30,2055.8744494347648,1977.2369638044352,2020.4445782969838,2052,0
2026-05-19 00:20:00,2077.5386631998163,2020.2114747564376,2056.190355296071,2194,0
2026-05-19 00:20:30,2054.854731247599,2031.6287024754758,2078.6351311792246,2752,0
2026-05-19 00:21:00,2043.3740687044703,2027.0364640826162,1983.3645285035811,1816,0
2026-05-19 00:21:30,2035.9558521764284,2054.094194881349,2059.985907513494,2097,0
2026-05-19 00:22:00,1988.859120385303,2015.103202704712,2085.297394838187,2267,0
2026-05-19 00:22:30,2019.2062316642116,2092.841226692979,2031.3959884414653,2385,0
2026-05-19 00:23:00,2029.5744491616085,2048.008282596728,2076.028024484823,2060,0
2026-05-19 00:23:30,2090.2848890487567,2047.6279871544555,2160.5861777789023,2724,0
2026-05-19 00:24:00,2061.7447315827385,2034.8842113394833,2043.8262882805243,1757,0
2026-05-19 00:24:30,1977.4783937854907,2054.2076273543594,2063.7322820002128,2701,0
